trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,False,"{'a': 0.7, 'e': 0.8199999999999998}",20,0,-43.8322662551229,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.8099999999999998}",35,0,-175.05316491651064,"{0: 18, 1: 4, 2: 11, 3: 1, 4: 1}",0
20,False,"{'a': 0.7, 'e': 0.7999999999999998}",20,0,-57.1757693701324,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
21,False,"{'a': 0.7, 'e': 0.7899999999999998}",30,0,-35.79851616826061,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.7, 'e': 0.7799999999999998}",30,0,-89.42944943577137,"{0: 18, 1: 2, 2: 10, 3: 0, 4: 0}",0
23,False,"{'a': 0.7, 'e': 0.7699999999999998}",35,0,-167.4775064230919,"{0: 20, 1: 8, 2: 3, 3: 2, 4: 2}",0
24,False,"{'a': 0.7, 'e': 0.7599999999999998}",25,4,-31.23100741501309,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.7, 'e': 0.7499999999999998}",25,5,-40.94011802423918,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",1
26,False,"{'a': 0.7, 'e': 0.7399999999999998}",25,7,-24.857710740917028,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 0}",1
27,False,"{'a': 0.7, 'e': 0.7299999999999998}",25,0,-97.93859600920689,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
28,False,"{'a': 0.7, 'e': 0.7199999999999998}",35,0,-95.41575123605546,"{0: 20, 1: 7, 2: 8, 3: 0, 4: 0}",0
29,False,"{'a': 0.7, 'e': 0.7099999999999997}",20,0,-77.15389785743662,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
30,False,"{'a': 0.7, 'e': 0.6999999999999997}",25,0,-77.7624186418723,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
31,False,"{'a': 0.7, 'e': 0.6899999999999997}",30,0,-48.98282779808983,"{0: 22, 1: 3, 2: 4, 3: 1, 4: 0}",0
32,False,"{'a': 0.7, 'e': 0.6799999999999997}",30,0,-25.150986373512612,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
33,False,"{'a': 0.7, 'e': 0.6699999999999997}",20,2,-0.7183451354620027,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 0.6599999999999997}",25,0,-102.54978898685832,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.7, 'e': 0.6499999999999997}",20,0,-19.12967711909849,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
36,False,"{'a': 0.7, 'e': 0.6399999999999997}",20,0,-95.85522961109221,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
37,False,"{'a': 0.7, 'e': 0.6299999999999997}",30,20,8.526805159549077,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 0.6199999999999997}",30,0,-64.62368138418721,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
39,False,"{'a': 0.7, 'e': 0.6099999999999997}",25,0,-134.06840109148732,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
40,False,"{'a': 0.7, 'e': 0.5999999999999996}",20,1,-23.58308783646635,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 0}",1
41,False,"{'a': 0.7, 'e': 0.5899999999999996}",20,0,-55.10363626716444,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
42,False,"{'a': 0.7, 'e': 0.5799999999999996}",25,19,-31.20872075827681,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
43,False,"{'a': 0.7, 'e': 0.5699999999999996}",20,0,-73.35661764444316,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
44,False,"{'a': 0.7, 'e': 0.5599999999999996}",20,0,-46.70775220185547,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
45,False,"{'a': 0.7, 'e': 0.5499999999999996}",20,15,6.818480589120069,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.7, 'e': 0.5399999999999996}",35,23,-95.66482450271744,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 2}",1
47,False,"{'a': 0.7, 'e': 0.5299999999999996}",25,0,-114.98662438781763,"{0: 18, 1: 0, 2: 4, 3: 1, 4: 2}",0
48,False,"{'a': 0.7, 'e': 0.5199999999999996}",20,0,-3.7561482024952433,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
